"vuln_id","url","package","version_local","severity","grype","osv","vulnix","sum","sortcol"
"CVE-2023-46361","https://nvd.nist.gov/vuln/detail/CVE-2023-46361","jbig2dec","0.20","6.5","1","0","1","2","2023A0000046361"
"CVE-2023-44487","https://nvd.nist.gov/vuln/detail/CVE-2023-44487","contour","0.5.1.7247","7.5","0","0","1","1","2023A0000044487"
"CVE-2023-41330","https://nvd.nist.gov/vuln/detail/CVE-2023-41330","snappy","1.2.1","9.8","0","0","1","1","2023A0000041330"
"CVE-2023-37769","https://nvd.nist.gov/vuln/detail/CVE-2023-37769","pixman","0.44.2","6.5","1","0","0","1","2023A0000037769"
"CVE-2023-28115","https://nvd.nist.gov/vuln/detail/CVE-2023-28115","snappy","1.2.1","9.8","0","0","1","1","2023A0000028115"
"CVE-2023-22834","https://nvd.nist.gov/vuln/detail/CVE-2023-22834","contour","0.5.1.7247","4.3","0","0","1","1","2023A0000022834"
"CVE-2023-7216","https://nvd.nist.gov/vuln/detail/CVE-2023-7216","cpio","2.15","5.3","1","0","0","1","2023A0000007216"
"CVE-2023-6992","https://nvd.nist.gov/vuln/detail/CVE-2023-6992","zlib","1.3.1","5.5","0","0","1","1","2023A0000006992"
"CVE-2023-6277","https://nvd.nist.gov/vuln/detail/CVE-2023-6277","libtiff","4.7.0","6.5","1","0","0","1","2023A0000006277"
"CVE-2023-6228","https://nvd.nist.gov/vuln/detail/CVE-2023-6228","libtiff","4.7.0","3.3","1","0","0","1","2023A0000006228"
"CVE-2023-5841","https://nvd.nist.gov/vuln/detail/CVE-2023-5841","openexr","2.5.10","9.1","1","0","1","2","2023A0000005841"
"CVE-2023-5341","https://nvd.nist.gov/vuln/detail/CVE-2023-5341","imagemagick","7.1.1-47","5.5","1","0","1","2","2023A0000005341"
"CVE-2023-4039","https://nvd.nist.gov/vuln/detail/CVE-2023-4039","gcc","14.2.1.20250322","4.8","0","0","1","1","2023A0000004039"
"CVE-2023-4039","https://nvd.nist.gov/vuln/detail/CVE-2023-4039","gcc","13.3.0","4.8","0","0","1","1","2023A0000004039"
"OSV-2023-1398","https://osv.dev/OSV-2023-1398","file","5.46","","0","1","0","1","2023A0000001398"
"OSV-2023-1344","https://osv.dev/OSV-2023-1344","jq","1.7.1","","0","1","0","1","2023A0000001344"
"OSV-2023-1329","https://osv.dev/OSV-2023-1329","jq","1.7.1","","0","1","0","1","2023A0000001329"
"OSV-2023-1307","https://osv.dev/OSV-2023-1307","libbpf","1.5.0","","0","1","0","1","2023A0000001307"
"OSV-2023-1161","https://osv.dev/OSV-2023-1161","exiv2","0.28.5","","0","1","0","1","2023A0000001161"
"OSV-2023-1129","https://osv.dev/OSV-2023-1129","libheif","1.19.7","","0","1","0","1","2023A0000001129"
"OSV-2023-877","https://osv.dev/OSV-2023-877","libbpf","1.5.0","","0","1","0","1","2023A0000000877"
"OSV-2023-364","https://osv.dev/OSV-2023-364","hunspell","1.7.2","","0","1","0","1","2023A0000000364"
"OSV-2023-327","https://osv.dev/OSV-2023-327","hunspell","1.7.2","","0","1","0","1","2023A0000000327"
"OSV-2023-298","https://osv.dev/OSV-2023-298","cairo","1.18.2","","0","1","0","1","2023A0000000298"
"OSV-2023-197","https://osv.dev/OSV-2023-197","p11-kit","0.25.5","","0","1","0","1","2023A0000000197"
"OSV-2023-137","https://osv.dev/OSV-2023-137","harfbuzz","10.2.0","","0","1","0","1","2023A0000000137"
"OSV-2023-14","https://osv.dev/OSV-2023-14","hunspell","1.7.2","","0","1","0","1","2023A0000000014"
"CVE-2022-42012","https://nvd.nist.gov/vuln/detail/CVE-2022-42012","dbus","1","6.5","0","0","1","1","2022A0000042012"
"CVE-2022-42011","https://nvd.nist.gov/vuln/detail/CVE-2022-42011","dbus","1","6.5","0","0","1","1","2022A0000042011"
"CVE-2022-42010","https://nvd.nist.gov/vuln/detail/CVE-2022-42010","dbus","1","6.5","0","0","1","1","2022A0000042010"
